session_id,start_time,end_time,src_ip,attacker_role,honeypots,event_count
1,2026-02-06 19:37:54.280512810,2026-02-06 19:43:15.672144413,172.16.0.10,manual,dionaea,27
2,2026-02-07 03:25:36.423978000,2026-02-07 03:37:08.421285000,172.16.0.10,manual,cowrie,177
3,2026-02-07 04:42:02.164663000,2026-02-07 04:42:05.490290000,172.16.0.10,manual,cowrie,4
4,2026-02-06 08:21:22.161990881,2026-02-06 08:32:05.090184212,172.16.0.101,recon,dionaea,439
5,2026-02-06 11:47:07.141659021,2026-02-06 11:57:45.733698606,172.16.0.101,recon,dionaea,438
6,2026-02-06 16:14:18.853371000,2026-02-06 16:21:20.982018000,172.16.0.101,recon,cowrie,365
7,2026-02-06 19:39:50.587878000,2026-02-06 19:46:52.038281000,172.16.0.101,recon,cowrie,367
8,2026-02-06 08:47:18.199238539,2026-02-06 08:48:05.716632843,172.16.0.102,bruteforce,dionaea,440
9,2026-02-06 12:11:46.919060707,2026-02-06 12:12:36.055931568,172.16.0.102,bruteforce,dionaea,440
10,2026-02-06 16:33:39.152463000,2026-02-06 16:47:16.547426000,172.16.0.102,bruteforce,cowrie,373
11,2026-02-06 19:58:00.928053000,2026-02-06 20:11:35.798426000,172.16.0.102,bruteforce,cowrie,388
12,2026-02-07 04:53:12.614757000,2026-02-07 04:57:43.271637000,172.16.0.102,bruteforce,cowrie,444
13,2026-02-06 08:48:08.988952160,2026-02-06 08:55:19.925333738,172.16.0.103,exploit,dionaea,265
14,2026-02-06 12:12:39.354386806,2026-02-06 12:19:16.225534201,172.16.0.103,exploit,dionaea,241
15,2026-02-06 12:52:10.144391775,2026-02-06 12:52:10.535980700,172.16.0.103,exploit,dionaea,21
16,2026-02-06 16:48:18.555225000,2026-02-06 16:51:18.897159000,172.16.0.103,exploit,cowrie,68
17,2026-02-06 20:12:36.580649000,2026-02-06 20:15:37.120716000,172.16.0.103,exploit,cowrie,68
18,2026-02-06 16:55:21.226994000,2026-02-06 17:17:34.658743000,172.16.0.104,postaccess,cowrie,2815
19,2026-02-06 20:26:58.513543000,2026-02-06 20:45:11.559023000,172.16.0.104,postaccess,cowrie,2814
20,2026-02-06 09:22:13.811601400,2026-02-06 09:36:29.751211882,172.16.0.105,multistage,dionaea,812
21,2026-02-06 12:52:10.563707113,2026-02-06 13:03:47.237112761,172.16.0.105,multistage,dionaea,739
22,2026-02-06 17:19:53.572959000,2026-02-06 17:41:01.441438000,172.16.0.105,multistage,cowrie,1548
23,2026-02-06 20:49:29.740020000,2026-02-06 21:07:44.498671000,172.16.0.105,multistage,cowrie,1556
24,2026-02-06 08:26:50.286675692,2026-02-06 08:26:50.286675692,,unknown,dionaea,1
25,2026-02-06 08:32:04.420152903,2026-02-06 08:32:04.420152903,,unknown,dionaea,1
26,2026-02-06 08:48:18.077041149,2026-02-06 08:48:18.077041149,,unknown,dionaea,1
27,2026-02-06 08:52:58.976230383,2026-02-06 08:52:58.976230383,,unknown,dionaea,1
28,2026-02-06 08:53:02.204291582,2026-02-06 08:53:02.204291582,,unknown,dionaea,1
29,2026-02-06 08:53:05.415895224,2026-02-06 08:53:05.415895224,,unknown,dionaea,1
30,2026-02-06 08:53:07.647364616,2026-02-06 08:53:07.647364616,,unknown,dionaea,1
31,2026-02-06 08:53:09.929523230,2026-02-06 08:53:09.929523230,,unknown,dionaea,1
32,2026-02-06 08:53:12.078160048,2026-02-06 08:53:12.078160048,,unknown,dionaea,1
33,2026-02-06 08:53:14.254773617,2026-02-06 08:53:14.254773617,,unknown,dionaea,1
34,2026-02-06 08:53:15.439783573,2026-02-06 08:53:15.439783573,,unknown,dionaea,1
35,2026-02-06 08:53:16.642486334,2026-02-06 08:53:16.642486334,,unknown,dionaea,1
36,2026-02-06 08:53:18.855059147,2026-02-06 08:53:18.855059147,,unknown,dionaea,1
37,2026-02-06 08:53:20.048752308,2026-02-06 08:53:20.048752308,,unknown,dionaea,1
38,2026-02-06 08:53:22.229482889,2026-02-06 08:53:22.229482889,,unknown,dionaea,1
39,2026-02-06 08:53:23.499804735,2026-02-06 08:53:23.499804735,,unknown,dionaea,1
40,2026-02-06 08:53:25.779235601,2026-02-06 08:53:25.779235601,,unknown,dionaea,1
41,2026-02-06 08:53:27.015865563,2026-02-06 08:53:27.015865563,,unknown,dionaea,1
42,2026-02-06 08:53:29.235008955,2026-02-06 08:53:29.235008955,,unknown,dionaea,1
43,2026-02-06 08:53:31.382971287,2026-02-06 08:53:31.382971287,,unknown,dionaea,1
44,2026-02-06 08:53:32.546875477,2026-02-06 08:53:32.546875477,,unknown,dionaea,1
45,2026-02-06 08:53:34.746325493,2026-02-06 08:53:34.746325493,,unknown,dionaea,1
46,2026-02-06 08:53:36.928546906,2026-02-06 08:53:36.928546906,,unknown,dionaea,1
47,2026-02-06 09:30:06.796982765,2026-02-06 09:30:06.796982765,,unknown,dionaea,1
48,2026-02-06 09:32:11.265688181,2026-02-06 09:32:11.265688181,,unknown,dionaea,1
49,2026-02-06 11:52:34.648919106,2026-02-06 11:52:34.648919106,,unknown,dionaea,1
50,2026-02-06 11:57:45.502516270,2026-02-06 11:57:45.502516270,,unknown,dionaea,1
51,2026-02-06 12:12:45.752745867,2026-02-06 12:12:45.752745867,,unknown,dionaea,1
52,2026-02-06 12:17:27.582307100,2026-02-06 12:17:27.582307100,,unknown,dionaea,1
53,2026-02-06 12:17:31.718963623,2026-02-06 12:17:31.718963623,,unknown,dionaea,1
54,2026-02-06 12:17:33.890189886,2026-02-06 12:17:33.890189886,,unknown,dionaea,1
55,2026-02-06 12:17:37.064399957,2026-02-06 12:17:37.064399957,,unknown,dionaea,1
56,2026-02-06 12:17:39.232865095,2026-02-06 12:17:39.232865095,,unknown,dionaea,1
57,2026-02-06 12:17:40.441239595,2026-02-06 12:17:40.441239595,,unknown,dionaea,1
58,2026-02-06 12:17:42.618265152,2026-02-06 12:17:42.618265152,,unknown,dionaea,1
59,2026-02-06 12:17:43.812762022,2026-02-06 12:17:43.812762022,,unknown,dionaea,1
60,2026-02-06 12:17:44.981089354,2026-02-06 12:17:44.981089354,,unknown,dionaea,1
61,2026-02-06 12:17:46.178071976,2026-02-06 12:17:46.178071976,,unknown,dionaea,1
62,2026-02-06 12:17:48.379281521,2026-02-06 12:17:48.379281521,,unknown,dionaea,1
63,2026-02-06 12:17:50.629464388,2026-02-06 12:17:50.629464388,,unknown,dionaea,1
64,2026-02-06 12:17:52.807424068,2026-02-06 12:17:52.807424068,,unknown,dionaea,1
65,2026-02-06 12:17:55.026028633,2026-02-06 12:17:55.026028633,,unknown,dionaea,1
66,2026-02-06 12:17:56.204129219,2026-02-06 12:17:56.204129219,,unknown,dionaea,1
67,2026-02-06 12:17:58.415627480,2026-02-06 12:17:58.415627480,,unknown,dionaea,1
68,2026-02-06 12:17:59.615287781,2026-02-06 12:17:59.615287781,,unknown,dionaea,1
69,2026-02-06 12:18:01.957871914,2026-02-06 12:18:01.957871914,,unknown,dionaea,1
70,2026-02-06 12:18:04.234078884,2026-02-06 12:18:04.234078884,,unknown,dionaea,1
71,2026-02-06 12:18:05.382524014,2026-02-06 12:18:05.382524014,,unknown,dionaea,1
72,2026-02-06 12:59:53.422787428,2026-02-06 12:59:53.422787428,,unknown,dionaea,1
73,2026-02-06 13:01:57.536274433,2026-02-06 13:01:57.536274433,,unknown,dionaea,1
74,2026-02-06 19:38:07.207095623,2026-02-06 19:38:07.207095623,,unknown,dionaea,1
75,2026-02-06 19:38:23.363603830,2026-02-06 19:38:23.363603830,,unknown,dionaea,1
76,2026-02-06 19:38:30.660987139,2026-02-06 19:38:30.660987139,,unknown,dionaea,1
77,2026-02-06 19:38:34.028319120,2026-02-06 19:38:34.028319120,,unknown,dionaea,1
78,2026-02-06 19:38:38.705986500,2026-02-06 19:38:38.705986500,,unknown,dionaea,1
79,2026-02-06 19:38:42.710930347,2026-02-06 19:38:42.710930347,,unknown,dionaea,1
