download,connection,url,md5_hash,protocol,src_ip,timestamp,hour,attacker_role
1,912,,e928d880fdf1eb840b694b679f1fa10d,httpd,172.16.0.103,2026-02-06 08:53:43.120303631,8,exploit
2,913,,d2abb92471332446824323b79fdb2760,httpd,172.16.0.103,2026-02-06 08:53:45.229992628,8,exploit
3,914,,5f2ae8fff0b2598ba8871fe91bb8af00,httpd,172.16.0.103,2026-02-06 08:53:47.344067574,8,exploit
4,915,,a5e5bf1231cb3119c23bf08ed0c72e6b,httpd,172.16.0.103,2026-02-06 08:53:48.439230919,8,exploit
5,916,,e928d880fdf1eb840b694b679f1fa10d,httpd,172.16.0.103,2026-02-06 08:53:50.548855305,8,exploit
6,917,,d2abb92471332446824323b79fdb2760,httpd,172.16.0.103,2026-02-06 08:53:52.627337456,8,exploit
7,918,,5f2ae8fff0b2598ba8871fe91bb8af00,httpd,172.16.0.103,2026-02-06 08:53:53.718297482,8,exploit
8,919,,a5e5bf1231cb3119c23bf08ed0c72e6b,httpd,172.16.0.103,2026-02-06 08:53:55.820350409,8,exploit
9,920,,e928d880fdf1eb840b694b679f1fa10d,httpd,172.16.0.103,2026-02-06 08:53:57.919188738,8,exploit
10,921,,d2abb92471332446824323b79fdb2760,httpd,172.16.0.103,2026-02-06 08:53:58.996064186,8,exploit
11,922,,5f2ae8fff0b2598ba8871fe91bb8af00,httpd,172.16.0.103,2026-02-06 08:54:01.110034943,8,exploit
12,923,,a5e5bf1231cb3119c23bf08ed0c72e6b,httpd,172.16.0.103,2026-02-06 08:54:03.183675766,8,exploit
13,924,,e928d880fdf1eb840b694b679f1fa10d,httpd,172.16.0.103,2026-02-06 08:54:04.270285606,8,exploit
14,925,,d2abb92471332446824323b79fdb2760,httpd,172.16.0.103,2026-02-06 08:54:06.352796555,8,exploit
15,926,,5f2ae8fff0b2598ba8871fe91bb8af00,httpd,172.16.0.103,2026-02-06 08:54:07.438029051,8,exploit
16,927,,a5e5bf1231cb3119c23bf08ed0c72e6b,httpd,172.16.0.103,2026-02-06 08:54:08.529269695,8,exploit
17,928,,e928d880fdf1eb840b694b679f1fa10d,httpd,172.16.0.103,2026-02-06 08:54:09.651619911,8,exploit
18,929,,d2abb92471332446824323b79fdb2760,httpd,172.16.0.103,2026-02-06 08:54:11.746315718,8,exploit
19,930,,5f2ae8fff0b2598ba8871fe91bb8af00,httpd,172.16.0.103,2026-02-06 08:54:13.850522041,8,exploit
20,931,,a5e5bf1231cb3119c23bf08ed0c72e6b,httpd,172.16.0.103,2026-02-06 08:54:15.959366322,8,exploit
21,2554,,67b9c022c6d0aebfbeb05c5f6c39f680,httpd,172.16.0.103,2026-02-06 12:18:12.559261084,12,exploit
22,2555,,d2abb92471332446824323b79fdb2760,httpd,172.16.0.103,2026-02-06 12:18:13.643346548,12,exploit
23,2556,,5f2ae8fff0b2598ba8871fe91bb8af00,httpd,172.16.0.103,2026-02-06 12:18:15.758842707,12,exploit
24,2557,,a5e5bf1231cb3119c23bf08ed0c72e6b,httpd,172.16.0.103,2026-02-06 12:18:17.867982149,12,exploit
25,2558,,67b9c022c6d0aebfbeb05c5f6c39f680,httpd,172.16.0.103,2026-02-06 12:18:18.962177277,12,exploit
26,2559,,d2abb92471332446824323b79fdb2760,httpd,172.16.0.103,2026-02-06 12:18:20.061284304,12,exploit
27,2560,,5f2ae8fff0b2598ba8871fe91bb8af00,httpd,172.16.0.103,2026-02-06 12:18:22.154105902,12,exploit
28,2561,,a5e5bf1231cb3119c23bf08ed0c72e6b,httpd,172.16.0.103,2026-02-06 12:18:24.256200552,12,exploit
29,2562,,67b9c022c6d0aebfbeb05c5f6c39f680,httpd,172.16.0.103,2026-02-06 12:18:25.365219355,12,exploit
30,2563,,d2abb92471332446824323b79fdb2760,httpd,172.16.0.103,2026-02-06 12:18:27.475109816,12,exploit
31,2564,,5f2ae8fff0b2598ba8871fe91bb8af00,httpd,172.16.0.103,2026-02-06 12:18:29.558250189,12,exploit
32,2565,,a5e5bf1231cb3119c23bf08ed0c72e6b,httpd,172.16.0.103,2026-02-06 12:18:31.644536734,12,exploit
33,2566,,67b9c022c6d0aebfbeb05c5f6c39f680,httpd,172.16.0.103,2026-02-06 12:18:32.727870226,12,exploit
34,2567,,d2abb92471332446824323b79fdb2760,httpd,172.16.0.103,2026-02-06 12:18:34.840707064,12,exploit
35,2568,,5f2ae8fff0b2598ba8871fe91bb8af00,httpd,172.16.0.103,2026-02-06 12:18:35.944929361,12,exploit
36,2569,,a5e5bf1231cb3119c23bf08ed0c72e6b,httpd,172.16.0.103,2026-02-06 12:18:37.035806417,12,exploit
37,2570,,67b9c022c6d0aebfbeb05c5f6c39f680,httpd,172.16.0.103,2026-02-06 12:18:38.143220425,12,exploit
38,2571,,d2abb92471332446824323b79fdb2760,httpd,172.16.0.103,2026-02-06 12:18:40.261304140,12,exploit
39,2572,,5f2ae8fff0b2598ba8871fe91bb8af00,httpd,172.16.0.103,2026-02-06 12:18:42.383631468,12,exploit
40,2573,,a5e5bf1231cb3119c23bf08ed0c72e6b,httpd,172.16.0.103,2026-02-06 12:18:44.477069855,12,exploit
