connection,protocol,src_ip,src_port,dst_port,connection_type,timestamp,hour,attacker_role,service
1,smbd,172.16.0.101,40346,445,accept,2026-02-06 08:21:22.161990881,8,recon,SMB
2,httpd,172.16.0.101,52892,80,accept,2026-02-06 08:21:22.204578638,8,recon,HTTP
3,Blackhole,172.16.0.101,54858,23,accept,2026-02-06 08:21:22.242958307,8,recon,Telnet
4,ftpd,172.16.0.101,39468,21,accept,2026-02-06 08:21:22.283600330,8,recon,FTP
5,mysqld,172.16.0.101,35610,3306,accept,2026-02-06 08:21:22.322762966,8,recon,MySQL
6,smbd,172.16.0.101,59544,445,accept,2026-02-06 08:21:33.175867796,8,recon,SMB
7,ftpd,172.16.0.101,60252,21,accept,2026-02-06 08:21:33.220317364,8,recon,FTP
8,Blackhole,172.16.0.101,56848,23,accept,2026-02-06 08:21:33.251449584,8,recon,Telnet
9,smbd,172.16.0.101,52072,445,accept,2026-02-06 08:21:38.182900429,8,recon,SMB
10,Blackhole,172.16.0.101,36344,23,accept,2026-02-06 08:21:38.246852875,8,recon,Telnet
11,smbd,172.16.0.101,52076,445,accept,2026-02-06 08:21:43.218660831,8,recon,SMB
12,Blackhole,172.16.0.101,36352,23,accept,2026-02-06 08:21:43.242833138,8,recon,Telnet
13,smbd,172.16.0.101,50486,445,accept,2026-02-06 08:21:48.205330849,8,recon,SMB
14,Blackhole,172.16.0.101,49092,23,accept,2026-02-06 08:21:48.263458490,8,recon,Telnet
15,smbd,172.16.0.101,50494,445,accept,2026-02-06 08:21:53.212298870,8,recon,SMB
16,Blackhole,172.16.0.101,49094,23,accept,2026-02-06 08:21:53.241538048,8,recon,Telnet
17,smbd,172.16.0.101,37504,445,accept,2026-02-06 08:21:58.223268509,8,recon,SMB
18,Blackhole,172.16.0.101,57402,23,accept,2026-02-06 08:21:58.249077320,8,recon,Telnet
19,smbd,172.16.0.101,37510,445,accept,2026-02-06 08:21:58.268387078,8,recon,SMB
20,smbd,172.16.0.101,37516,445,accept,2026-02-06 08:21:58.291186571,8,recon,SMB
21,Blackhole,172.16.0.101,57414,23,accept,2026-02-06 08:22:03.228132963,8,recon,Telnet
22,smbd,172.16.0.101,37526,445,accept,2026-02-06 08:22:05.799391031,8,recon,SMB
23,Blackhole,172.16.0.101,33896,23,accept,2026-02-06 08:22:08.234306097,8,recon,Telnet
24,smbd,172.16.0.101,41282,445,accept,2026-02-06 08:22:10.804059744,8,recon,SMB
25,Blackhole,172.16.0.101,33898,23,accept,2026-02-06 08:22:15.748005152,8,recon,Telnet
26,smbd,172.16.0.101,41290,445,accept,2026-02-06 08:22:15.810400248,8,recon,SMB
27,Blackhole,172.16.0.101,56356,23,accept,2026-02-06 08:22:20.752888203,8,recon,Telnet
28,smbd,172.16.0.101,38436,445,accept,2026-02-06 08:22:20.814888954,8,recon,SMB
29,smbd,172.16.0.101,38444,445,accept,2026-02-06 08:22:20.844377995,8,recon,SMB
30,Blackhole,172.16.0.101,56360,23,accept,2026-02-06 08:22:25.757395983,8,recon,Telnet
31,smbd,172.16.0.101,38458,445,accept,2026-02-06 08:22:25.852795362,8,recon,SMB
32,Blackhole,172.16.0.101,55412,23,accept,2026-02-06 08:22:30.765215158,8,recon,Telnet
33,smbd,172.16.0.101,43610,445,accept,2026-02-06 08:22:30.852163076,8,recon,SMB
34,Blackhole,172.16.0.101,55414,23,accept,2026-02-06 08:22:35.777238131,8,recon,Telnet
35,smbd,172.16.0.101,43612,445,accept,2026-02-06 08:22:35.857106209,8,recon,SMB
36,Blackhole,172.16.0.101,37152,23,accept,2026-02-06 08:22:40.783500433,8,recon,Telnet
37,smbd,172.16.0.101,40502,445,accept,2026-02-06 08:22:40.861727238,8,recon,SMB
38,Blackhole,172.16.0.101,37162,23,accept,2026-02-06 08:22:45.801395893,8,recon,Telnet
39,smbd,172.16.0.101,40504,445,accept,2026-02-06 08:22:45.866608858,8,recon,SMB
40,Blackhole,172.16.0.101,44288,23,accept,2026-02-06 08:22:50.801520109,8,recon,Telnet
41,smbd,172.16.0.101,45080,445,accept,2026-02-06 08:22:53.376525879,8,recon,SMB
42,Blackhole,172.16.0.101,44304,23,accept,2026-02-06 08:22:55.810185432,8,recon,Telnet
43,smbd,172.16.0.101,42518,445,accept,2026-02-06 08:22:58.385674477,8,recon,SMB
44,Blackhole,172.16.0.101,36960,23,accept,2026-02-06 08:23:00.818453789,8,recon,Telnet
45,smbd,172.16.0.101,42532,445,accept,2026-02-06 08:23:03.393779039,8,recon,SMB
46,Blackhole,172.16.0.101,36964,23,accept,2026-02-06 08:23:05.825808287,8,recon,Telnet
47,smbd,172.16.0.101,49128,445,accept,2026-02-06 08:23:08.403774738,8,recon,SMB
48,Blackhole,172.16.0.101,38854,23,accept,2026-02-06 08:23:13.339658499,8,recon,Telnet
49,smbd,172.16.0.101,49140,445,accept,2026-02-06 08:23:13.410419941,8,recon,SMB
50,Blackhole,172.16.0.101,50570,23,accept,2026-02-06 08:23:18.354279757,8,recon,Telnet
51,smbd,172.16.0.101,43600,445,accept,2026-02-06 08:23:18.416255713,8,recon,SMB
52,Blackhole,172.16.0.101,50574,23,accept,2026-02-06 08:23:23.382845163,8,recon,Telnet
53,smbd,172.16.0.101,43608,445,accept,2026-02-06 08:23:23.445269823,8,recon,SMB
54,smbd,172.16.0.101,43616,445,accept,2026-02-06 08:23:23.479117155,8,recon,SMB
55,Blackhole,172.16.0.101,45970,23,accept,2026-02-06 08:23:28.378380775,8,recon,Telnet
56,smbd,172.16.0.101,60522,445,accept,2026-02-06 08:23:28.484541178,8,recon,SMB
57,Blackhole,172.16.0.101,45980,23,accept,2026-02-06 08:23:33.391816616,8,recon,Telnet
58,smbd,172.16.0.101,60526,445,accept,2026-02-06 08:23:33.490919590,8,recon,SMB
59,Blackhole,172.16.0.101,60006,23,accept,2026-02-06 08:23:38.405449390,8,recon,Telnet
60,Blackhole,172.16.0.101,60018,23,accept,2026-02-06 08:23:43.411709547,8,recon,Telnet
61,Blackhole,172.16.0.101,33206,23,accept,2026-02-06 08:23:48.423361301,8,recon,Telnet
62,Blackhole,172.16.0.101,33220,23,accept,2026-02-06 08:23:53.434290171,8,recon,Telnet
63,Blackhole,172.16.0.101,42062,23,accept,2026-02-06 08:23:58.444780350,8,recon,Telnet
64,httpd,172.16.0.101,37394,80,accept,2026-02-06 08:24:03.465021849,8,recon,HTTP
65,httpd,172.16.0.101,37406,80,accept,2026-02-06 08:24:03.512076616,8,recon,HTTP
66,httpd,172.16.0.101,37418,80,accept,2026-02-06 08:24:03.544901133,8,recon,HTTP
67,httpd,172.16.0.101,37434,80,accept,2026-02-06 08:24:03.609126568,8,recon,HTTP
68,httpd,172.16.0.101,37448,80,accept,2026-02-06 08:24:03.643348217,8,recon,HTTP
69,httpd,172.16.0.101,37462,80,accept,2026-02-06 08:24:03.706625462,8,recon,HTTP
70,smbd,172.16.0.101,824,445,accept,2026-02-06 08:24:03.742999077,8,recon,SMB
71,Blackhole,172.16.0.101,945,23,accept,2026-02-06 08:24:03.776053190,8,recon,Telnet
72,httpd,172.16.0.101,37466,80,accept,2026-02-06 08:24:03.827300549,8,recon,HTTP
73,mysqld,172.16.0.101,37178,3306,accept,2026-02-06 08:24:05.076431513,8,recon,MySQL
74,pptpd,172.16.0.101,47576,1723,accept,2026-02-06 08:24:05.107701063,8,recon,PPTP
75,mssqld,172.16.0.101,59176,1433,accept,2026-02-06 08:24:05.154898167,8,recon,MSSQL
76,smbd,172.16.0.101,54642,445,accept,2026-02-06 08:24:05.181235313,8,recon,SMB
77,epmapper,172.16.0.101,48168,135,accept,2026-02-06 08:24:05.214653492,8,recon,Port-135
78,httpd,172.16.0.101,37470,80,accept,2026-02-06 08:24:05.246033430,8,recon,HTTP
